Acession;Virus;Genotype;Product;Host;Country;Date;Size;Clinic;Gender;Age
EF187888;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187889;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187890;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187891;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187892;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187893;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187894;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187895;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187896;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187897;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187898;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187899;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187900;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187901;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187902;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187903;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187904;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187905;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF187906;Chikungunya;East-Central-South-African;E1;Hs;India;2006;457;N/A;N/A;N/A
EF193853;Chikungunya;East-Central-South-African;E1;Hs;Mauritius;2006;570;N/A;N/A;N/A
EF193854;Chikungunya;East-Central-South-African;E1;Hs;Seychelles;2006;570;N/A;N/A;N/A
EF193855;Chikungunya;East-Central-South-African;E1;Hs;Mauritius;2006;570;N/A;N/A;N/A
EF193856;Chikungunya;East-Central-South-African;E1;Hs;India;2006;570;N/A;N/A;N/A
EF193857;Chikungunya;East-Central-South-African;E1;Hs;India;2006;570;N/A;N/A;N/A
EF193858;Chikungunya;East-Central-South-African;E1;Hs;India;2006;570;N/A;N/A;N/A
EF193859;Chikungunya;East-Central-South-African;E1;Hs;India;2006;570;N/A;N/A;N/A
EF210157;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;India;2006;11774;N/A;N/A;N/A
EF555196;Chikungunya;East-Central-South-African;E1;Hs;India;2007;954;CHF;N/A;N/A
EF555197;Chikungunya;East-Central-South-African;E1;Hs;India;2007;933;CHF;N/A;N/A
EF555198;Chikungunya;East-Central-South-African;E1;Hs;India;2007;946;CHF;N/A;N/A
EF555199;Chikungunya;East-Central-South-African;E1;Hs;India;2007;957;CHF;N/A;N/A
EF555200;Chikungunya;East-Central-South-African;E1;Hs;India;2007;956;CHF;N/A;N/A
